time_ms,pointer,middle,ring,ecg
32480,4095,2537,3327,730
32500,4095,3015,2841,3787
32520,4095,3567,2775,3911
32540,4095,4095,2875,0
32560,4095,4095,2924,0
32580,4095,4095,3429,519
32600,4095,4095,2891,3463
32620,4095,4095,2823,3932
32640,4095,3671,2875,26
32660,3285,3111,2915,0
32680,2488,2607,3283,906
32700,1800,2107,2853,4095
32720,923,1613,2786,4095
32740,109,1151,2841,1365
32760,0,968,2873,61
32780,493,1060,3187,1609
32800,1419,1337,2806,4095
32820,2397,1721,2764,4095
32840,3187,2031,2869,941
32860,3627,2159,2911,0
32880,3533,2078,3271,1033
32900,2997,1851,2809,4095
32920,2009,1525,2765,4095
32940,499,1205,2867,1160
32960,0,969,2941,0
32980,0,843,3223,1624
33000,0,800,2803,4095
33020,0,852,2780,4095
33040,0,1019,2932,1199
33060,812,1209,2919,0
33080,1619,1337,3253,909
33100,2079,1399,2812,4095
33120,2152,1383,2773,4095
33140,1868,1335,2919,895
33160,1005,1267,2932,0
33180,56,1157,3209,1181
33200,0,1019,2812,4095
33220,0,933,2783,4095
33240,285,967,2961,1067
33260,1059,1075,2917,0
33839,3292,2207,2869,1382
33859,3641,2203,2936,620
33879,3576,2027,3261,964
33899,3240,1855,2803,3347
33919,2855,1657,2831,3757
33939,2479,1498,2844,2039
33959,2185,1404,2967,627
33979,1973,1365,3215,1336
33999,1845,1359,2793,3451
34019,1775,1355,2828,3795
34039,1783,1423,2879,1852
34059,1828,1477,2942,1900
34079,1881,1523,3232,2325
34099,1927,1578,2795,3005
34119,1918,1604,2830,3483
34139,1919,1619,2895,1706
34159,1916,1657,2948,767
34179,1882,1656,3263,1097
34199,1812,1607,2799,3300
34219,1719,1548,2831,3565
34239,1637,1501,2891,1948
34259,1559,1485,2943,821
34279,1453,1468,3252,1449
34299,1381,1452,2797,3737
34319,1373,1510,2843,4095
34339,1626,1755,2899,2075
34359,2223,2303,2962,380
34379,3087,3109,3341,495
34399,4095,4095,2868,2363
34419,4095,4095,2839,2876
34439,4095,4095,2829,1101
34459,4095,4095,2952,0
34479,4095,4095,3412,573
34499,4095,4095,2867,2667
34519,3369,4095,2857,3223
34539,1614,4095,2837,1476
34559,74,3165,2907,304
34579,0,2387,3237,1237
34599,0,1865,2829,3405
34619,0,1638,2831,3930
34639,0,1685,2827,2251
34659,820,1903,2904,687
34679,2022,2175,3269,1143
34699,2997,2419,2828,3375
34719,3244,2473,2833,3624
34739,2458,2297,2823,1779
34759,1309,2140,2904,412
34779,264,2104,3221,1261
34799,0,2222,2803,3577
34819,0,2413,2813,3791
36652,79,1407,2805,4095
36672,0,1711,2895,2408
36692,335,1869,2898,313
36712,939,1979,3206,343
36732,1711,2036,2791,3025
36752,2455,2041,2839,4095
36772,2969,2030,2901,2298
36792,3214,1995,2903,0
36812,3273,1934,3209,389
36832,3221,1852,2791,3143
36852,2971,1785,2835,4095
36872,2543,1703,2907,2385
36892,2067,1580,2899,101
36912,1545,1421,3189,411
36932,1020,1187,2789,3405
36952,203,939,2873,4095
36972,0,748,2899,2887
36992,0,647,2907,143
37012,0,649,3161,199
37032,0,788,2795,3531
37052,0,1033,2918,4095
37072,0,1327,2915,2604
37092,0,1607,2923,1737
37112,0,1773,3221,649
37132,0,1762,2799,2902
37152,0,1545,2891,4095
37172,457,1173,2913,2475
37192,1070,735,2948,0
37212,1479,379,3181,357
37232,1703,216,2789,3721
37252,1789,281,2939,4095
37272,1807,613,2920,2702
37292,1788,1079,2926,117
37312,1708,1509,3256,435
37332,1526,1770,2783,3733
37352,1069,1821,2873,4095
37372,679,1735,2970,2925
37392,543,1656,2918,0
37412,745,1779,3247,0
37432,1383,2173,2803,2681
37452,2595,2763,2853,4095
37472,4095,3515,2867,1459
37492,4095,4095,2980,0
37512,4095,4095,3405,0
37532,4095,4095,2871,2123
37552,4095,4095,2853,3995
37572,4095,4095,2835,1844
37592,4095,3611,2899,0
37612,4095,2916,3303,0
37632,2861,2253,2833,3518
37862,1497,1735,3288,237
